,0
0,"JobElement(job_id=1, title=Senior Python Developer, subtitle=Payne, Roberts and Davis, location=Stewartbury, AA, date=2021-04-08)"
1,"JobElement(job_id=2, title=Energy engineer, subtitle=Vasquez-Davidson, location=Christopherville, AA, date=2021-04-08)"
2,"JobElement(job_id=3, title=Legal executive, subtitle=Jackson, Chambers and Levy, location=Port Ericaburgh, AA, date=2021-04-08)"
3,"JobElement(job_id=4, title=Fitness centre manager, subtitle=Savage-Bradley, location=East Seanview, AP, date=2021-04-08)"
4,"JobElement(job_id=5, title=Product manager, subtitle=Ramirez Inc, location=North Jamieview, AP, date=2021-04-08)"
5,"JobElement(job_id=6, title=Medical technical officer, subtitle=Rogers-Yates, location=Davidville, AP, date=2021-04-08)"
6,"JobElement(job_id=7, title=Physiological scientist, subtitle=Kramer-Klein, location=South Christopher, AE, date=2021-04-08)"
7,"JobElement(job_id=8, title=Textile designer, subtitle=Meyers-Johnson, location=Port Jonathan, AE, date=2021-04-08)"
8,"JobElement(job_id=9, title=Television floor manager, subtitle=Hughes-Williams, location=Osbornetown, AE, date=2021-04-08)"
9,"JobElement(job_id=10, title=Waste management officer, subtitle=Jones, Williams and Villa, location=Scotttown, AP, date=2021-04-08)"
10,"JobElement(job_id=11, title=Software Engineer (Python), subtitle=Garcia PLC, location=Ericberg, AE, date=2021-04-08)"
11,"JobElement(job_id=12, title=Interpreter, subtitle=Gregory and Sons, location=Ramireztown, AE, date=2021-04-08)"
12,"JobElement(job_id=13, title=Architect, subtitle=Clark, Garcia and Sosa, location=Figueroaview, AA, date=2021-04-08)"
13,"JobElement(job_id=14, title=Meteorologist, subtitle=Bush PLC, location=Kelseystad, AA, date=2021-04-08)"
14,"JobElement(job_id=15, title=Audiological scientist, subtitle=Salazar-Meyers, location=Williamsburgh, AE, date=2021-04-08)"
15,"JobElement(job_id=16, title=English as a second language teacher, subtitle=Parker, Murphy and Brooks, location=Mitchellburgh, AE, date=2021-04-08)"
16,"JobElement(job_id=17, title=Surgeon, subtitle=Cruz-Brown, location=West Jessicabury, AA, date=2021-04-08)"
17,"JobElement(job_id=18, title=Equities trader, subtitle=Macdonald-Ferguson, location=Maloneshire, AE, date=2021-04-08)"
18,"JobElement(job_id=19, title=Newspaper journalist, subtitle=Williams, Peterson and Rojas, location=Johnsonton, AA, date=2021-04-08)"
19,"JobElement(job_id=20, title=Materials engineer, subtitle=Smith and Sons, location=South Davidtown, AP, date=2021-04-08)"
20,"JobElement(job_id=21, title=Python Programmer (Entry-Level), subtitle=Moss, Duncan and Allen, location=Port Sara, AE, date=2021-04-08)"
21,"JobElement(job_id=22, title=Product/process development scientist, subtitle=Gomez-Carroll, location=Marktown, AA, date=2021-04-08)"
22,"JobElement(job_id=23, title=Scientist, research (maths), subtitle=Manning, Welch and Herring, location=Laurenland, AE, date=2021-04-08)"
23,"JobElement(job_id=24, title=Ecologist, subtitle=Lee, Gutierrez and Brown, location=Lauraton, AP, date=2021-04-08)"
24,"JobElement(job_id=25, title=Materials engineer, subtitle=Davis, Serrano and Cook, location=South Tammyberg, AP, date=2021-04-08)"
25,"JobElement(job_id=26, title=Historic buildings inspector/conservation officer, subtitle=Smith LLC, location=North Brandonville, AP, date=2021-04-08)"
26,"JobElement(job_id=27, title=Data scientist, subtitle=Thomas Group, location=Port Robertfurt, AA, date=2021-04-08)"
27,"JobElement(job_id=28, title=Psychiatrist, subtitle=Silva-King, location=Burnettbury, AE, date=2021-04-08)"
28,"JobElement(job_id=29, title=Structural engineer, subtitle=Pierce-Long, location=Herbertside, AA, date=2021-04-08)"
29,"JobElement(job_id=30, title=Immigration officer, subtitle=Walker-Simpson, location=Christopherport, AP, date=2021-04-08)"
30,"JobElement(job_id=31, title=Python Programmer (Entry-Level), subtitle=Cooper and Sons, location=West Victor, AE, date=2021-04-08)"
31,"JobElement(job_id=32, title=Neurosurgeon, subtitle=Donovan, Gonzalez and Figueroa, location=Port Aaron, AP, date=2021-04-08)"
32,"JobElement(job_id=33, title=Broadcast engineer, subtitle=Morgan, Butler and Bennett, location=Loribury, AA, date=2021-04-08)"
33,"JobElement(job_id=34, title=Make, subtitle=Snyder-Lee, location=Angelastad, AP, date=2021-04-08)"
34,"JobElement(job_id=35, title=Nurse, adult, subtitle=Harris PLC, location=Larrytown, AE, date=2021-04-08)"
35,"JobElement(job_id=36, title=Air broker, subtitle=Washington PLC, location=West Colin, AP, date=2021-04-08)"
36,"JobElement(job_id=37, title=Editor, film/video, subtitle=Brown, Price and Campbell, location=West Stephanie, AP, date=2021-04-08)"
37,"JobElement(job_id=38, title=Production assistant, radio, subtitle=Mcgee PLC, location=Laurentown, AP, date=2021-04-08)"
38,"JobElement(job_id=39, title=Engineer, communications, subtitle=Dixon Inc, location=Wrightberg, AP, date=2021-04-08)"
39,"JobElement(job_id=40, title=Sales executive, subtitle=Thompson, Sheppard and Ward, location=Alberttown, AE, date=2021-04-08)"
40,"JobElement(job_id=41, title=Software Developer (Python), subtitle=Adams-Brewer, location=Brockburgh, AE, date=2021-04-08)"
41,"JobElement(job_id=42, title=Futures trader, subtitle=Schneider-Brady, location=North Jason, AE, date=2021-04-08)"
42,"JobElement(job_id=43, title=Tour manager, subtitle=Gonzales-Frank, location=Arnoldhaven, AE, date=2021-04-08)"
43,"JobElement(job_id=44, title=Cytogeneticist, subtitle=Smith-Wong, location=Lake Destiny, AP, date=2021-04-08)"
44,"JobElement(job_id=45, title=Designer, multimedia, subtitle=Pierce-Herrera, location=South Timothyburgh, AP, date=2021-04-08)"
45,"JobElement(job_id=46, title=Trade union research officer, subtitle=Aguilar, Rivera and Quinn, location=New Jimmyton, AE, date=2021-04-08)"
46,"JobElement(job_id=47, title=Chemist, analytical, subtitle=Lowe, Barnes and Thomas, location=New Lucasbury, AP, date=2021-04-08)"
47,"JobElement(job_id=48, title=Programmer, multimedia, subtitle=Lewis, Gonzalez and Vasquez, location=Port Cory, AE, date=2021-04-08)"
48,"JobElement(job_id=49, title=Engineer, broadcasting (operations), subtitle=Taylor PLC, location=Gileston, AA, date=2021-04-08)"
49,"JobElement(job_id=50, title=Teacher, primary school, subtitle=Oliver, Jones and Ramirez, location=Cindyshire, AA, date=2021-04-08)"
50,"JobElement(job_id=51, title=Python Developer, subtitle=Rivera and Sons, location=East Michaelfort, AA, date=2021-04-08)"
51,"JobElement(job_id=52, title=Manufacturing systems engineer, subtitle=Garcia PLC, location=Joybury, AE, date=2021-04-08)"
52,"JobElement(job_id=53, title=Producer, television/film/video, subtitle=Johnson, Wells and Kramer, location=Emmatown, AE, date=2021-04-08)"
53,"JobElement(job_id=54, title=Scientist, forensic, subtitle=Gonzalez LLC, location=Colehaven, AP, date=2021-04-08)"
54,"JobElement(job_id=55, title=Bonds trader, subtitle=Morgan, White and Macdonald, location=Port Coryton, AE, date=2021-04-08)"
55,"JobElement(job_id=56, title=Editorial assistant, subtitle=Robinson-Fitzpatrick, location=Amyborough, AA, date=2021-04-08)"
56,"JobElement(job_id=57, title=Photographer, subtitle=Waters, Wilson and Hoover, location=Reynoldsville, AA, date=2021-04-08)"
57,"JobElement(job_id=58, title=Retail banker, subtitle=Hill LLC, location=Port Billy, AP, date=2021-04-08)"
58,"JobElement(job_id=59, title=Jewellery designer, subtitle=Li-Gregory, location=Adamburgh, AA, date=2021-04-08)"
59,"JobElement(job_id=60, title=Ophthalmologist, subtitle=Fisher, Ryan and Coleman, location=Wilsonmouth, AA, date=2021-04-08)"
60,"JobElement(job_id=61, title=Back-End Web Developer (Python, Django), subtitle=Stewart-Alexander, location=South Kimberly, AA, date=2021-04-08)"
61,"JobElement(job_id=62, title=Licensed conveyancer, subtitle=Abbott and Sons, location=Benjaminland, AP, date=2021-04-08)"
62,"JobElement(job_id=63, title=Futures trader, subtitle=Bryant, Santana and Davenport, location=Zacharyport, AA, date=2021-04-08)"
63,"JobElement(job_id=64, title=Counselling psychologist, subtitle=Smith PLC, location=Port Devonville, AE, date=2021-04-08)"
64,"JobElement(job_id=65, title=Insurance underwriter, subtitle=Patterson-Singh, location=East Thomas, AE, date=2021-04-08)"
65,"JobElement(job_id=66, title=Engineer, automotive, subtitle=Martinez-Berry, location=New Jeffrey, AP, date=2021-04-08)"
66,"JobElement(job_id=67, title=Producer, radio, subtitle=May, Taylor and Fisher, location=Davidside, AA, date=2021-04-08)"
67,"JobElement(job_id=68, title=Dispensing optician, subtitle=Bailey, Owen and Thompson, location=Jamesville, AA, date=2021-04-08)"
68,"JobElement(job_id=69, title=Designer, fashion/clothing, subtitle=Vasquez Ltd, location=New Kelly, AP, date=2021-04-08)"
69,"JobElement(job_id=70, title=Chartered loss adjuster, subtitle=Leblanc LLC, location=Lake Antonio, AA, date=2021-04-08)"
70,"JobElement(job_id=71, title=Back-End Web Developer (Python, Django), subtitle=Jackson, Ali and Mckee, location=New Elizabethside, AA, date=2021-04-08)"
