2024-02-04 11:16:08,745 DEBUG | logger_generator_func.py: 47   | 1
2024-02-04 11:16:08,745 DEBUG | logger_generator_func.py: 47   | 1
2024-02-04 11:16:08,745 DEBUG | logger_generator_func.py: 47   | 2
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 4
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 3
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 9
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 4
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 16
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 5
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 25
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 6
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 36
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 7
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 49
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 8
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 64
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 9
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 81
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 10
2024-02-04 11:16:08,746 DEBUG | logger_generator_func.py: 47   | 100
